Jahr;Nr;Interpret;Song
2004;2;Scissor Sisters;Take Your Mama
2004;3;Franz Ferdinand;Take Me Out
2004;4;Mia.;Hungriges Herz
2004;5;Eamon;F**k It (I Don't Want You Back)
2004;6;Feist;One Evening
2004;7;Donavon Frankenreiter & Jack Johnson;Free
2004;8;Mavis Staples;Will The Circle Be Unbroken
2004;9;Amadou & Mariam feat. Manu Chao;Sénégal Fast Food
2004;10;Bebel Gilberto;Aganjù
2004;11;Phoenix;Everything Is Everything
2004;12;Maritime;Sleep Around
2004;13;Kante;Wo die Flüsse singen
2004;14;Devendra Banhart;A Ribbon
2004;15;The Streets;Dry Your Eyes
2004;16;Kanye West;Jesus Walks
2004;17;The Polyphonic Spree;Hold Me Now
2004;18;Dizzee Rascal;Stand Up Tall
2004;19;Bloc Party;Banquet
2004;20;Elliott Smith;A Fond Farewell
2005;;Devendra Banhart;I Feel Just Like A Child
2005;2;Nada Surf;Blankest Year
2005;3;Babyshambles;Killamangiro
2005;4;M.I.A.;Pull Up The People
2005;5;Fettes Brot mit Finkenauer;An Tagen wie diesen
2005;6;"Damian ""Jr. Gong"" Marley";Welcome To Jamrock
2005;7;DJ Tomekk feat. Xzibit, Sido & Harris (a.k.a. Deine Lieblingsrapper);Salam alajkum (Boogie Down Berlin)
2005;8;Platinum Pied Pipers;One Minute More
2005;9;Sufjan Stevens;They Are Night Zombies!! They Are Neighbors!! They Have Come Back From The Dead!! Ahhhh!
2005;10;Element Of Crime;Delmenhorst
2005;11;John Prine;My Darlin' Hometown
2005;12;Keren Ann;Chelsea Burns
2005;13;Ben Arnold;Show Your Love
2005;14;Mylo;Drop The Pressure
2005;15;Goldfrapp;Number 1
2005;16;WhoMadeWho;Space For Rent
2005;17;Superimposers;Heavy Sigh
2005;18;Broken Social Scene;Swimmers
2005;19;My Morning Jacket;Wordless Chorus
2005;20;Antony & The Johnsons feat. Boy George;You Are My Sister
