artist_id|artist_name|artist_popularity|artist_genres|artist_added_ts
6A43Djmhbe9100UwnI7epV|CAKE|61|alternative rock, pop rock, post-grunge, sacramento indie|2023-07-11, 08:23:33
2zMQOJ4Cyl4BYbw6WqaO3h|L7|46|alternative rock, grunge, punk, riot grrrl|2023-07-11, 08:23:34
1P6U1dCeHxPui5pIrGmndZ|Air|59|ambient pop, downtempo, electronica, indietronica, trip hop|2023-07-11, 08:23:35
1lYT0A0LV5DUfxr6doRP3d|The Stone Roses|59|britpop, dance rock, madchester|2023-07-11, 08:23:35
5fScAXreYFnuqwOgBsJgSd|The Charlatans|45|britpop, dance rock, madchester|2023-07-11, 08:23:36
0AuW7OCyKfFrsMbtHrYgIV|House Of Pain|59|gangster rap, hip hop, rap rock, west coast rap|2023-07-11, 08:27:23
4P0dddbxPil35MNN9G2MEX|Cypress Hill|66|chicano rap, gangster rap, hip hop, rap rock, west coast rap|2023-07-11, 08:27:23
0C0XlULifJtAgn6ZNCW2eu|The Killers|75|alternative rock, dance rock, modern rock, permanent wave, rock|2023-07-11, 08:27:24
6vWDO969PvNqNYHIOW5v0m|Beyoncé|86|pop, r&b|2023-07-11, 08:27:25
1Y8cdNmUJH7yBTd9yOvr5i|Destiny's Child|70|dance pop, girl group, pop, r&b, urban contemporary|2023-07-11, 08:27:26
6MDME20pz9RveH9rEXvrOM|Clean Bandit|73|pop, uk dance, uk funky|2023-07-11, 08:27:27
0yNLKJebCb8Aueb54LYya3|New Order|64|dance rock, madchester, new romantic, new wave, permanent wave, post-punk, synthpop, uk post-punk|2023-07-11, 08:27:28
0VHK9XLmJ4PYPgWXWvhV00|Paula|13|german pop|2023-07-11, 08:27:29
11wRdbnoYqRddKBrpHt4Ue|Kasabian|61|britpop, garage rock, leicester indie, modern rock, rock|2023-07-11, 08:27:30
6S0GHTqz5sxK5f9HtLXn9q|Garbage|57|alternative rock, dance rock, electronic rock, permanent wave|2023-07-11, 08:27:30
